Genus	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0.16243	0	0	0.69675	0	0	0	0	0	0	0	0	0.20749	0	0	0	0	0	0.08287	0	0	0	0	0	0	0	0	0	0	0	0.03261	0	0	0	0	0	0	0	0	0	0	0	0.02308	0	0	0.14813	0	0	0	0	0	1.9331	0	0	0	0	0	0	0.01023	0.02876	0	0	0	0	0	0	0	0	0	0	0.19237	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0.00618	0	0	0	0.01274	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05274	0	0	0	0	0	0.08249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00338	0	0.01233	0	0.00213	0	0.00373	0.00708	0.01542	0	0	0.13015	0	0	0	3.2e-4	0.74072	0.00339	0.00192	2.5e-4	0	0	0.00166	0	0.07977	0.12141	0.01814	0	0.00777	0	0	0	0	0	0.05764	0	0	0.04466	9.2e-4	0	0	0.00561	0.00206	0	0	0	0	0	0	0.011269999999999999	0	0	7.3e-4	0.00424	0	0.00468	0	0	0.00208	0.00131	0	0	0.09898	0	0.00535	0.31958	5.3e-4	0	0	0.007	0	0.00217	0.02581	0.00257	0	0	6e-4	0.00365	0.020759999999999997	0	0	0	0	0	0.00585	0.01175	0.12331	0	0.0017	0.00329	0.02047	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0	0.06776	0	0	9.9e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0.00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.03801	0.00322	0.00525	0	0.00318	0.02548	0.00694	0	0.03558	0.01223	0.07394999999999999	0.23181000000000002	0.00351	0	0	0	0.46077	0.01494	0	0.00876	0	0.04657	0.01888	0	0.21364	0.1485	0	0	0.00138	0.00388	0	0.01141	0.00289	0	0.07862999999999999	0.09593	0	0.05574	0.01645	0	0.00552	0.00563	0.01443	0.01054	0.05593	0.01007	0.00131	0.01263	0.0068000000000000005	0.16611	0.01774	0	0	0	0.00727	0.03557	0	0.0095	0.04294	0.02907	0.18425	0	0.25155	0	0.09007	0	0.03835	0.00601	0.00901	0.02186	0.00681	0.13229	0.027589999999999996	0	0.03116	0.01261	0.0034200000000000003	0.02074	0.05249	0.00282	0.1845	0.53707	0.02728	0	0.00481	0.1876	0.02519	0	0.03375	0.00533	1.07584	0.01967	0	0	0.01896	0.02397
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0	0	0	0	0	0	2e-4	0	0	0.00406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16553	0.30682	0	0	0	0	0.03019	0	0.00531	0.01744	0	4.8e-4	0	0	0	0.02087	0	0	0	0	0.00133	0	0	0	0.09042	0.13014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00336	0	0.00164	0	0.12971	0	0	0	0	6.19611	0.00353	0	0	0.02654	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	17.69791	0.029779999999999997	0.03111	5.46134	0.05554	0.14368999999999998	10.90063	0.37914	2.61996	10.42047	0.89974	7.07654	40.56641	0.05774	0.01022	0.04468	0.031599999999999996	0	16.33399	7.280130000000001	0.30563999999999997	0	0	0.02033	0	2.08198	0.87624	0.32557	0	4.57482	6.41425	0.32359	0.14781	0	0.28922	0.03883	1.6995	0.19687	4.32002	7.7e-4	4.59903	0.31223	0.94397	1.0711	0.21696000000000001	0.39665999999999996	3.0359499999999997	18.72064	4.08073	2.12736	0.35536	1.27358	2.88667	0.0058200000000000005	6.17476	65.43378	1.50945	16.2506	1.46818	3.28623	4.20516	0.00264	1.79234	1.96282	0.03088	2.62207	3.90598	0.7746599999999999	0.04997	0.04445	3.92677	0.46254	18.79006	6.33302	0.09017	3.79387	0.24746	6.21225	56.29131	0.9635600000000001	0.17987	0.84026	0.11016	12.6173	0.29281999999999997	0.41369	10.277050000000001	2.9987999999999997	0.018179999999999998	0.5390900000000001	1.11328	0.13237	9.209859999999999	0.27191	2.88706	5.4563299999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0	0	0	0	0	0	0.00205	0	0	0	0	0.00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265	0	0	0	0	0.0013	0	0	0	0	0	0	0.05565	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0.00499	0	0	0	0.02445	0	0	0	0	0	0.00441	0.01214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01527	0	0	0	0	0	0	0	0	0	0.18484	0	0	0	0.01001	0	0	0	0.00444	0	0	0.00844	0	0	0	7.1e-4	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01172	0.01242	0	0	0.01165	0	0	0	0.23054	0.00427	0.02517	0	0	0	0	0	0.010499999999999999	0	0
