Compound	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
-_2-Hydroxyisobutyrate	0	0	0	0	0	0	95.42174771	0	18.38337516	0	0	32.62283366	0	197.5704858	584	0	0	0	0	0	0	161.4725791	0	0	0	0	0	0	0	0	0	0	0	84.90894096	0	0	0	0	0	0	0	80.47955928	0	0	0	0	0	0	63.5813686	0	0	0	0	0	0	0	0	19.50328378	74.30617579	0	0	0	72.21738535	0	0	0	0	0	0	34.97026293	67.73859729	0	0	0	0	0	0	0	481.26733960000007	0	0	0	2361.245804	0	43	0	92.30888969	0	0	0	0	0	0	0	187.2241037	45.43343921
-_2-Hydroxyoctanoate	0	0	0	0	0	0	0	1210.109948	0	0	40.22098051	41.53277391	0	0	0	0	0	0	0	85.81092324	0	0	140.6193149	0	0	0	0	0	82.76926376	1880.348593	39.11290408	0	0	0	0	0	0	0	0	0	0	56.00728982	0	0	0	0	340.7103603	0	53.9149711	0	0	0	380.3941307	0	1116.250403	3202.598987000001	0	267.98037830000004	47.80213839	0	0	0	506.6857088	0	0	0	0	0	0	0	412.365696	0	487.2631148	0	0	0	0	0	56.68669131	0	0	0	66.29675686	0	0	0	893.2813572000001	0	0	0	194.4210012	0	127.753466	0	0	0
-_2-Hydroxypentanoate	544.6068222	574.1113409	0	464.1633887	0	47.78985583	411.8672546	0	112.4510663	0	0	97.50177589	0	0	0	64.23157975	390.2881811	0	0	159.9912518	0	0	1499.633917	0	0	0	0	152.7124379	378.2403465	0	142.4524069	0	0	241.3512992	0	0	0	86.05445863	544.1856162	281.9629939	0	448.537759	0	0	0	0	0	0	0	778.8629371000003	0	0	0	0	0	473.1221531000001	0	306.4720904	0	0	0	87.61081366	0	151.4363822	0	147.2979584	0	0	0	404.338829	146.1915483	0	0	0	0	0	0	0	1353.787931	170.0794858	453	0	2073.1156920000008	0	0	0	420.3489488	2108.900658	0	0	226.7938449	0	0	0	0	0
-_2-Oxooctanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-_3-Indoxyl sulfate	0	0	0	0	0	0	138.4806252	0	8.02203457	0	0	0	0	0	1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271.2914031	0	0	0	0	433.5158469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.27183808	0	0	0	0	0	0	0	0	0	0	0	5.945761422	0	0	0	0	0	0	0	95	0	0	0	0	8.912433132	0	122	0	0	0	0	0	0	0	0	0	0	0
-_4-Oxohexanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.7344211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-_4-Oxopentanoate	0	0	0	0	0	0	0	0	127.6029669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.92987882	0	0	0	0	0	0	0	0	0	0	0	235.668432	0	0	0	0	0	0	0	0	0	0	0	0	102.7919105	0	0	0	0	0	0	0	0	0	0	0	0	0
-_Cysteine-glutathione disulphide	0	0	0	0	7.7	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	7.7	0	0	39	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-_Cysteine-glutathione disulphide -Divalent	0	2.7768574810000004	0	2.806006871	0	0	0	0	0	0	0	8.346194261	0	0	0	0	0	0	0	0	0	0	0	0	0	2.108604472	0	0	0	0	0	0	0	0	0	0	0	0	18.71478129	6.144914967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.867089532	0	0	59.38807120000001	0	0	0	0	3.387850515	0	0	0	0	9.364460105	0	0	0
-_N-Acetylvaline	41.53870851	15.12655432	0	0	0	0	22.42216191	28.04567469	0	10.36874587	0	24.06369133	29.24004726	16.3708773	63	0	0	257	0	0	0	0	17.60649174	0	584	43.68642931	36	17.02459524	54.41235347	12.24202363	0	50	0	4.989757195	30	0	0	0	38.39150449	0	85.20744786	0	71	157	0	81	0	157	4.079474234	21.29740319	40	0	24.41183504	0	27.15065357	0	0	0	25.47689824	150	0	21.81584256	16.73940888	20.45430387	31	0	0	65	175	26.35006884	0	92	4.479186019	86	0	4.421511253	0	24	37.81852887	0	467	0	28.57428912	0	0	46	41.10455358	53.80198514	38	66	30.15258198	0	0	0	0	0
