Compound	m.z	Method	High.Confidence.Annotation	Compound.Name	HMDB	KEGG
HILp_TF14__2-deoxycytidine	228.0983	HILIC-pos	TRUE	Deoxycytidine	HMDB0000014	C00881
HILn_QI18__4-pyridoxate	182.0461	HILIC-neg	TRUE	4-Pyridoxic acid	HMDB0000017	C00847
HILn_QI28__alpha-ketoisovalerate	115.0401	HILIC-neg	TRUE	Alpha-ketoisovaleric acid	HMDB0000019	C00141
C18n_QI86__p-hydroxyphenylacetate	151.039	C18-neg	TRUE	p-Hydroxyphenylacetic acid	HMDB0000020	C00642
HILp_QI1144__N-carbamoyl-beta-alanine	133.0612	HILIC-pos	TRUE	Ureidopropionic acid	HMDB0000026	C02642
HILp_TF5__biotin	245.096	HILIC-pos	TRUE	Biotin	HMDB0000030	C00120
HILn_QI23__adenine	134.0473	HILIC-neg	TRUE	Adenine	HMDB0000034	C00147
C18n_QI65__taurocholate	514.2845	C18-neg	TRUE	Taurocholic acid	HMDB0000036	C05122
HILn_QI36__butyrate	87.0451	HILIC-neg	TRUE	Butyric acid	HMDB0000039	C00246
HILp_QI615__betaine	118.0868	HILIC-pos	TRUE	Betaine	HMDB0000043	C00719
HILn_QI30__ascorbate	175.0249	HILIC-neg	TRUE	Ascorbic acid	HMDB0000044	C01041
HILp_QI7060__adenosine	268.1047	HILIC-pos	TRUE	Adenosine	HMDB0000050	C00212
HILp_QI19549__bilirubin	585.2722	HILIC-pos	TRUE	Bilirubin	HMDB0000054	C00486
HILp_TF37__beta-alanine	90.0558	HILIC-pos	TRUE	beta-Alanine	HMDB0000056	C00099
HILp_QI2466__carnitine	162.1128	HILIC-pos	TRUE	L-Carnitine	HMDB0000062	C00318
HILp_QI10949__cortisol	363.2169	HILIC-pos	TRUE	Cortisol	HMDB0000063	C00735
HILp_QI1110__creatine	132.0773	HILIC-pos	TRUE	Creatine	HMDB0000064	C00300
C8p_QI212__cholesterol	369.3516	C8-pos	TRUE	Cholesterol	HMDB0000067	C00187
HILp_QI6656__alpha-glycerophosphocholine	258.1106	HILIC-pos	TRUE	Glycerophosphocholine	HMDB0000086	C00670
HILp_TF11__cytidine	244.0932	HILIC-pos	TRUE	Cytidine	HMDB0000089	C00475
HILp_QI322__dimethylglycine	104.071	HILIC-pos	TRUE	Dimethylglycine	HMDB0000092	C01026
HILn_QI42__citrate	191.02	HILIC-neg	TRUE	Citric acid	HMDB0000094	C00158
HILp_QI331__choline	104.1075	HILIC-pos	TRUE	Choline	HMDB0000097	C00114
HILn_QI132__xylose	149.0457	HILIC-neg	TRUE	D-Xylose	HMDB0000098	C00181
HILp_TF9__2-deoxyadenosine	252.1096	HILIC-pos	TRUE	Deoxyadenosine	HMDB0000101	C00559
HILn_QI69__homovanillate	181.0508	HILIC-neg	TRUE	Homovanillic acid	HMDB0000118	C05582
HILn_QI53__fructose/glucose/galactose	179.0563	HILIC-neg	FALSE	D-Glucose	HMDB0000122	C00221
HILp_QI29__glycine	76.0402	HILIC-pos	TRUE	Glycine	HMDB0000123	C00037
HILn_TF14__pentose monophosphate	229.0119	HILIC-neg	FALSE	Fructose 6-phosphate	HMDB0000124	C00085
HILn_TF2__alpha-glycerophosphate	171.0064	HILIC-neg	TRUE	Glycerol 3-phosphate	HMDB0000126	C00093
HILp_TF33__guanidoacetic acid	118.0616	HILIC-pos	TRUE	Guanidoacetic acid	HMDB0000128	C00581
HILn_QI65__guanine	150.0422	HILIC-neg	TRUE	Guanine	HMDB0000132	C00242
HILn_QI66__guanosine	282.0847	HILIC-neg	TRUE	Guanosine	HMDB0000133	C00387
HILn_QI55__fumarate/maleate	115.0038	HILIC-neg	FALSE	Fumaric acid	HMDB0000134	C00122
C18n_QI59__glycocholate	464.3021	C18-neg	TRUE	Glycocholic acid	HMDB0000138	C01921
HILn_QI63__glycocholate	464.3023	HILIC-neg	TRUE	Glycocholic acid	HMDB0000138	C01921
HILn_QI61__glycerate	105.0193	HILIC-neg	TRUE	Glyceric acid	HMDB0000139	C00258
HILp_QI1810__glutamate	148.0606	HILIC-pos	TRUE	L-Glutamic acid	HMDB0000148	C00025
HILn_QI58__gentisate	153.0195	HILIC-neg	TRUE	Gentisic acid	HMDB0000152	C00628
HILn_QI84__malate	133.0143	HILIC-neg	TRUE	L-Malic acid	HMDB0000156	C00149
HILn_QI72__hypoxanthine	135.0314	HILIC-neg	TRUE	Hypoxanthine	HMDB0000157	C00262
HILp_QI1303__hypoxanthine	137.0463	HILIC-pos	TRUE	Hypoxanthine	HMDB0000157	C00262
HILn_QI124__tyrosine	180.0668	HILIC-neg	TRUE	L-Tyrosine	HMDB0000158	C00082
HILp_TF57__tyrosine	182.0816	HILIC-pos	TRUE	L-Tyrosine	HMDB0000158	C00082
HILp_TF55__phenylalanine	166.0866	HILIC-pos	TRUE	L-Phenylalanine	HMDB0000159	C00079
HILn_QI25__alanine	88.0404	HILIC-neg	TRUE	L-Alanine	HMDB0000161	C00041
