Compound	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct
HILIC-neg_Cluster_0480: 1-3-7-trimethylurate	HMDB0002123	C16361	TRUE	1-3-7-trimethylurate	3.83278	209.067885	NA	Imidazopyrimidines	[M-H]-
HILIC-pos_Cluster_0245: 1-methylguanine	HMDB0003282	C04152	TRUE	1-methylguanine	5.196976	166.071783	NA	Imidazopyrimidines	[M+H]+
HILIC-pos_Cluster_0110: 1-methylnicotinamide	HMDB0000699	C02918	TRUE	1-methylnicotinamide	8.138234	137.070572	NA	Pyridinecarboxylic acids and derivatives	[M+H]+
HILIC-neg_Cluster_0622: 1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	HMDB0037942	NA	TRUE	1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	3.809685	229.097974	5	Harmala alkaloids	[M-H]-
C18-neg_Cluster_0183: 1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	HMDB0032102	NA	TRUE	1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	1.282739	259.072196	2	NA	[M-H]-
C18-neg_Cluster_0393: 12.13-diHOME	HMDB0004705	C14829	TRUE	12.13-diHOME	10.162391	313.238314	NA	Long-chain fatty acids	[M-H]-
C18-neg_Cluster_0530: 13-docosenoate	HMDB0002068	C08316	TRUE	13-docosenoate	16.986972	337.310869	NA	Very long-chain fatty acids	[M-H]-
HILIC-neg_Cluster_0032: 2-aminobutyric acid	HMDB0000452	C02356	TRUE	2-aminobutyric acid	3.037586	102.056011	NA	L-alpha-amino acids	[M-H]-
HILIC-pos_Cluster_0728: 2-deoxyadenosine	HMDB0000101	C00559	TRUE	2-deoxyadenosine	5.144115	252.108028	1	Purine nucleosides	[M+H]+
HILIC-neg_Cluster_0113: 2-hydroxy-3-methylpentanoic acid /  leucinic acid	NA	NA	FALSE	2-hydroxy-3-methylpentanoic acid /  leucinic acid	3.663407	131.071198	3	Hydroxy fatty acids	[M-H]-
HILIC-neg_Cluster_0169: 2-hydroxyglutarate	HMDB0059655	C02630	TRUE	2-hydroxyglutarate	7.205254	147.029673	NA	Hydroxy acids and derivatives	[M-H]-
C18-neg_Cluster_0219: 2-hydroxyhexadecanoate	HMDB0031057	NA	TRUE	2-hydroxyhexadecanoate	13.929959	271.228079	11	NA	[M-H]-
C18-neg_Cluster_0144: 2-hydroxymyristic acid	HMDB0002261	NA	TRUE	2-hydroxymyristic acid	12.518107	243.196061	11	Long-chain fatty acids	[M-H]-
HILIC-pos_Cluster_0114: 2-hydroxyphenethylamine	HMDB0001065	C02735	TRUE	2-hydroxyphenethylamine	6.220723	138.090932	3	Organonitrogen compounds	[M+H]+
HILIC-neg_Cluster_0161: 2-methylglutaric acid	HMDB0000422	C02930	TRUE	2-methylglutaric acid	7.166747	145.050329	NA	Methyl-branched fatty acids	[M-H]-
HILIC-neg_Cluster_0220: 3-methyladipate-pimelate	HMDB0000555	NA	FALSE	3-methyladipate-pimelate	7.313638	159.065982	3	Medium-chain fatty acids	[M-H]-
HILIC-pos_Cluster_0272: 3-methylhistidine	HMDB0000479	C01152	TRUE	3-methylhistidine	9.833021	170.091783	NA	Histidine and derivatives	[M+H]+
HILIC-pos_Cluster_0254: 3-methylxanthine	HMDB0001886	C16357	TRUE	3-methylxanthine	3.279602	167.055805	NA	Imidazopyrimidines	[M+H]+
HILIC-pos_Cluster_0150: 4-guanidinobutanoic acid	HMDB0003464	C01035	TRUE	4-guanidinobutanoic acid	7.207806	146.091958	NA	Gamma amino acids and derivatives	[M+H]+
HILIC-pos_Cluster_0177: 4-hydroxy-3-methylacetophenone	HMDB0059824	NA	TRUE	4-hydroxy-3-methylacetophenone	1.695767	151.074856	NA	Alkyl-phenylketones	[M+H]+
