Sample	1,3-Dihydroxyacetone	2' fucosyl lactose	2'-Deoxyinosine	2'-Deoxyuridine	2-Aminobutyrate	2-Hydroxybutyrate	2-Hydroxyglutarate	2-Hydroxyisobutyrate	2-Hydroxyisovalerate	2-Oxoglutarate	3' fucosyl lactose	3'-sialyllactose	3-Hydroxybutyrate	3-Phenyllactate	4-Aminobutyrate	4-Hydroxybenzoate	4-Hydroxyphenylacetate	4-Hydroxyphenyllactate	5,6-Dihydrouracil	5-Aminopentanoate	6' sialyllactose	Acetaminophen	Acetate	Acetoin	Alanine	Allantoin	Arabinose	Arginine	Ascorbate	Asparagine	Aspartate	Betaine	Butyrate	Cadaverine	Carnitine	Choline	Citrate	Citrulline	Creatine	Creatinine	Cytidine	Cytosine	DL-methionine-sulfoxide	Desaminotyrosine	Dimethylamine	Ethanol	Ethanolamine	Ethyl-beta-D-glucuronide	Formate	Fucose	Fumarate	Galactose	Glucose	Glutamate	Glutamine	Glutarate	Glycerol	Glycine	Guanosine	Histidine	Hypoxanthine	Indole-3-acetate	Indole-3-lactate	Inosine	Isobutyrate	Isoleucine	Isopropanol	Isovalerate	Lactate	Lacto-N-fucopentaose I	Lacto-N-fucopentaose III	Lactodifucotetraose	Lactose	Leucine	Lysine	Malate	Methanol	Methionine	Methylamine	Methylsuccinate	N,N-Dimethylglycine	N-Acetylglucosamine	N-Acetylneuraminate	N-Carbamoyl-beta-alanine	N-Methylhydantoin	Nicotinate	O-Acetylcarnitine	Ornithine	Phenol	Phenylacetate	Phenylalanine	Proline	Propionate	Propylene glycol	Putrescine	Pyroglutamate	Pyruvate	Ribose	Sarcosine	Serine	Succinate	Taurine	Threonine	Thymidine	Thymine	Trimethylamine	Tryptophan	Tyramine	Tyrosine	Uracil	Urea	Uridine	Urocanate	Valerate	Valine	Xylose	myo-Inositol	p-Cresol	beta-Alanine	beta-Pseudouridine
EP.2.1	16.89478386	0	65.3264976	116.0108492	91.23183286	0	3337.282972	299.6008338	101.3687032	0	0	0	59.69490298	0	362.6746936	0	1040.718686	29.28429203	75.46336792	0	0	0	23410.53884	63.07385975	2135.50068	0	0	0	0	197.1058117	1554.320115	20.27374063	159.9372872	3931.979364	12.38950817	39.42116235	0	1048.602918	43.92643804	76.58968684	0	0	70.95809222	15.76846494	68.70545437	640.8754678	0	10.13687032	60.8212219	1089.1504	389.7063478	467.4223535	299.6008338	8637.739829	0	0	6388.480938	1447.319818	25.90533526	273.6954986	143.0425034	0	0	14.64214601	832.34968490000006	1133.076838	25.90533526	854.8760634	39.42116235	0	0	0	0	1091.403038	30337.40022	564.285781	66.45281652	482.0644995	203.8637253	16.89478386	14.64214601	498.9592834	0	173.4531143	14.64214601	123.8950817	0	1242.329773	0	325.5061691	593.570073	5752.110746	11565.04271	22.52637848	778.2863766	1003.550161	39.42116235	956.2447666	4.505275697	858.2550202	20153.22451	2040.889891	848.1181499	136.2845898	101.3687032	0	118.263487	33.78956772	725.3493872	484.3171374	0	38.29484342	43.92643804	132.905633	1418.035526	0	1008.055437	0	87.85287608	0
EF.1.1	35.6686909	0	335.4784982	538.8864382	381.7513945	0	7673.588637	13.49626142	927.3859634	0	0	0	89.65373659	0	0	0	969.802785	1065.240634	0	2277.012106	0	0	105166.7251	196.6598093	10263.90681	0	84.83364322	911.9616646	69.40934446	534.0663448	10922.33156	0	12930.38246	9650.790935	23.13644815	61.69719507	166.7752304	3082.931716	328.7303675	270.8892471	0	0	203.40794	0	63.62523242	6544.722771	0	59.76915773	9210.234402	216.9042014	483.9373738	3065.57938	1535.681746	23387.09301	0	0	7166.5148150000005	5441.885409	73.26541915	3513.848063	835.8041895	154.2429877	642.0364362	45.30887763	4117.323752	3918.735906	0	2572.965838	1096.089231	0	0	0	0	4505.823278	15329.82494	3643.990584	53.02102701	2394.622384	520.5700834	0	0	714.3378367	0	722.0499861	0	357.6509277	0	2557.541539	0	1644.615856	2806.258357	1727.521462	32239.67648	39.52476559	1192.491098	2520.90883	151.3509317	2908.444336	451.160739	3307.548067	63195.28009	7867.35639	3386.597598	462.728963	492.6135419	641.0724175	726.8700794	1923.217253	2235.559303	1494.228943	0	152.3149503	0	741.3303595	5629.86905	0	3113.780314	47.23691498	0	0
EF.3.1a	86.84790875	0	264.6793409	339.1204056	0	0	1731.444022	19.29953528	758.1960287	0	0	0	321.1994085	0	2131.22011	0	446.6463878	235.730038	0	550.0367554	0	0	149771.2864	144.7465146	23625.38826	555.5509083	0	2089.863963	0	719.5969582	2383.492607	104.7689058	16731.31855	5933.228559	161.2889734	1446.086608	0	0	3912.291508	170.938741	0	0	326.7135615	0	0	2058.157583	0	0	2062.293198	4287.253908	256.4081115	14169.99451	6440.530629	31962.78749	0	341.877482	14793.09379	24776.46768	125.4469793	687.8905788	1293.068864	0	188.8597381	601.04267	770.6028728	5851.894804	0	446.6463878	931.8918462	0	0	0	0	6265.456274	6095.896071	0	103.3903676	2285.616392	0	0	41.35614702	4430.621884	4407.186734	0	0	153.017744	0	650.6700465	0	485.2454584	4259.683143	14700.73173	43221.30925	234.3514998	2354.543304	3513.893959	183.3455851	1600.48289	26.19222645	3997.760879	43527.34474	5722.31221	8935.684833	490.7596113	237.1085763	0	2537.888889	202.6451204	4824.883819	1677.681031	0	875.3717786	104.7689058	554.1723701	16581.05788	197.1309675	1763.150401	0	141.9894381	0
EF.7.1	70.27552027	0	22.23908869	28.46603353	73.83377446	234.8447766	1996.180601	14.23301676	318.4637501	0	0	0	242.8508485	71.16508381	0	0	121.870206	29.35559707	0	2220.350615	0	0	84564.57953	136.1032228	2411.606778	2503.231823	0	523.9529296	0	136.9927863	1025.66677	0	3290.495563	929.5939073	297.1142249	261.531683	23557.42187	415.4261768	889.5635477	0	0	0	16.01214386	0	0	6401.299289	0	24.90777933	19436.07395	109.4163164	201.9309253	17590.22959	7173.440448	2677.586278	0	0	6280.318647	1379.713062	0	0	107.6371893	0	0	23.12865224	661.8352795	523.9529296	0	194.8144169	14112.03612	0	0	0	0	708.9821475	3933.650008	708.0925839	45.36774093	220.6117598	0	62.26944834	0	779.2576678	4462.940319	0	52.48424931	40.03035965	225.9491411	112.9745706	0	217.9430692	405.6409777	1445.540765	35828.95101	902.9070009	764.1350874	410.978359	1413.516477	496.3764596	0	0	17789.49183	595.1180134	490.1495148	40.91992319	0	46.25730448	232.1760859	201.0413618	354.046292	135.2136592	0	90.73548186	0	0	825.5149722	0	3933.650008	40.91992319	333.5863304	0
EP.9.1	4.042213827	0	14.1477484	94.99202494	0	0	4337.295437	8.084427655	28.29549679	421.4007915	0	0	46.48545902	0	507.2978353	0	355.7148168	36.37992445	123.2875217	27828.62109	0	0	57762.22504	48.50656593	2902.3095279999998	0	0	281.9444145	0	80.84427655	2108.014511	28.29549679	5578.255082	1235.906878	6.063320741	20.21106914	87.91815075	711.4296336	39.41158482	0	0	0	85.89704383	0	66.69652815	841.7910296	0	0	34.35881753	63.66486778	340.556515	491.12898	333.4826408	24959.65983	392.0947413	97.01313186	5455.978114	1928.135996	0	300.1343767	82.86538346	186.9523895	43.45379864	33.34826408	1603.748336	1099.482161	13.13719494	1581.51616	231.4167416	0	0	0	0	1292.497871	2140.352222	1277.339569	28.29549679	550.751634	143.4985909	116.2136475	34.35881753	117.224201	0	1846.281166	0	173.8151946	0	548.7305271	0	805.4111051	589.1526653	366.8309048	6256.336451	30.31660371	742.7567908	2220.185945	0	706.3768663	26.27438988	1136.872639	11130.23577	2097.908976	931.7302872	46.48545902	102.0658991	0	131.3719494	167.7518738	677.0708161	506.2872819	0	22.23217605	71.74929544	0	1674.487078	80.84427655	148.5513582	197.0579241	186.9523895	0
EP.11.1	26.82302665	0	12.97888386	57.10708899	196.4137758	529.5384615	1982.308195	9.517848165	25.0925088	282.0744093	0	0	169.5907491	55.37657114	205.9316239	0	196.4137758	30.28406234	130.6540975	6405.511815	0	0	38011.68979	47.58924082	3341.629965	181.7043741	0	626.447461	0	128.9235797	1520.25993	23.36199095	7321.821016	3550.157366	12.97888386	75.2775264	63.16390146	391.0970337	594.4328808	58.83760684	31.14932127	0	44.99346405	0	23.36199095	2439.164907	0	0	30.28406234	1523.720965	314.9542484	5281.540473	2974.760181	14950.80895	461.1830065	0	8184.484163	5287.597285	48.45449975	210.2579186	139.3066868	0	0	53.64605329	667.1146305	1256.355958	431.7642031	554.6309703	351.2951232	0	0	0	0	1303.07994	13169.24082	899.869281	35.47561589	553.7657114	19.03569633	0	5.191553544	1477.862242	920.6354952	0	0	60.56812469	0	139.3066868	0	237.0809452	826.3222725	1665.623429	3328.651081	18.17043741	1518.529412	200.7400704	38.07139266	623.8516843	124.5972851	880.8335847	12200.15083	1300.484163	1238.18552	0	80.46907994	64.89441931	141.0372046	628.1779789	494.9281046	338.3162393	0	51.91553544	69.22071393	353.025641	1881.93816	0	240.5419809	0	97.77425842	28.55354449
EP.12.1	22.1228659	0	10.13964687	0	225.8375894	0	2227.956953	9.217860791	198.184007	237.8208084	0	0	142.8768423	67.29038377	106.9271852	0	789.9706698	97.70932438	0	0	0	0	118610.8237	52.54180651	2906.391507	329.0776302	0	0	0	104.1618269	2368.990223	0	1029.63505	1344.885889	197.2622209	311.5636947	4761.946885	831.4510433	1139.327594	71.89931417	0	29.49715453	48.85466219	0	0	3140.5251709999998	0	19.35750766	33.18429885	3111.028017	107.8489713	6665.435138	1635.248504	15736.73194	437.8483876	0	8652.805924	10749.86925	0	644.3284693	299.5804757	0	205.5582956	11.98321903	1127.344375	405.5858748	371.4797899	696.8702758	14030.50591	0	0	0	0	378.8540785	11725.11893	298.6586896	59.91609514	176.9829272	0	0	4.608930395	1351.338392	2896.25186	0	0	157.6254195	21.20107982	138.2679119	0	392.6808697	259.9436743	6180.57566	14808.49336	45.16751788	466.423756	285.7536845	259.9436743	1220.444769	11.06143295	480.2505472	2804.073253	2432.593463	1439.829856	0	57.1507369	192.6532905	632.3452503	297.7369035	235.0554502	724.5238582	0	35.02787101	73.74288633	0	784.4399533	94.94396615	481.1723333	0	0	0
EP.14.1	0	0	136.5376861	186.951601	0	0	3185.529246	1439.947444	336.0927658	641.7271247	0	0	323.4892871	0	235.2649361	0	76.6711622	148.0908749	0	451.6246541	0	0	265576.3024	0	4954.217426	0	0	0	0	190.1024707	987.2724996	74.57058242	6673.541981	25991.52399	107.1295691	61.9671037	9100.761924	1225.688305	323.4892871	0	0	21.00579786	133.3868164	0	0	6870.996481	0	0	168.0463829	2593.165746	339.2436355	4578.213644	2465.030379	7072.652141	0	0	7885.576518	2616.272124	81.92261167	847.5839438	361.2997233	135.4873962	123.9342074	67.21855316	2617.322414	1550.227882	558.7542232	1428.394255	520.943787	0	0	0	0	1714.073106	1799.146587	2205.608776	31.5086968	743.6052444	288.8297206	166.996093	27.30753722	3864.016517	0	216.359718	162.7949334	228.9631967	0	270.9747924	0	934.7580049	924.255106	781.4156805	60065.0287	451.6246541	3531.074621	0	97.67696007	1237.241494	42.01159573	1439.947444	9633.2589	148.0908749	1438.897154	184.8510212	137.587976	111.3307287	284.6285611	491.53567	870.6903214	621.7716168	0	111.3307287	23.10637765	0	1978.746159	0	280.4274015	328.7407366	194.3036302	0
BF.6.1	0	38342.05888	0	0	33.75818026	27.32805068	502.3538729	2.41129859	32.15064786	0	21263.63473	1036.054627	0	0	22.5054535	0	14.46779154	106.0971379	0	529.6819235	2260.994311	0	5188.310799	0	801.354898	0	0	245.14869	0	18.48662252	808.5887938	10.44896056	24.91675209	439.6601095	16.07532393	44.20714081	346.4232307	0	856.8147656	12.86025915	0	0	0	0	0	1773.911996	0	0	2428.981446	437.2488109	38.58077744	1119.646312	471.0069912	1585.02694	220.2319379	0	5439.889618	906.6482697	12.05649295	206.5679125	32.15064786	0	126.1912929	0	17.68285632	207.3716787	367.3211518	6.430129573	1457.228114	2650.820916	1868.756407	4149.041107	0	325.5253096	386.6115406	118.1536309	24.91675209	96.45194359	0	0	0	826.2716501	0	0	9.645194359	20.09415491	0	139.8553182	0	0	292.5708956	139.8553182	156.7344083	0	55.45986756	122.9762281	80.37661966	257.2051829	8.841428162	0	5401.308841	910.6671007	325.5253096	0	0	27.32805068	53.85233517	10.44896056	408.3132279	45.01090701	0	12.05649295	40.99207603	17.68285632	535.3082869	0	401.0793321	0	0	0
BF.7.1	141.6302076	0	60.19283823	84.97812456	276.1789048	378.8608054	2777.722447	27.44085272	930.3334262	0	0	0	286.8011704	524.9169569	8131.344294	0	93.83001254	485.0834611	219.5268218	160.2191724	0	0	101161.1462	808.1773722	10345.20148	0	0	0	133.6635084	58.42246064	1009.115229	123.0412429	604.5839487	5228.810227	0	358.501463	115.9597325	0	0	0	0	348.7643862	96.48557893	0	7.966699178	2052.752822	416.0387348	0	43.37425108	27854.23589	30.98160791	1750.018253	1016.19674	4502.955413	227.493521	71.7002926	6822.150063	3099.931169	9.737076773	1014.426362	543.5059217	0	259.3603177	0	122.1560541	1109.141563	367.353351	158.4487948	34833.06437	0	0	0	0	1705.758813	1934.137523	153.137662	32.75198551	670.9731085	0	0	0	389.4830709	1893.418838	102.6819005	0	134.5486972	31.86679671	539.0799777	0	147.8265292	753.2956667	2558.195625	2906.074822	9847.725373	5067.705866	0	295.6530584	1082.585899	487.7390274	655.924899	21513.62854	728.5103804	1355.224049	69.92991501	108.8782221	0	239.0009753	1234.838373	265.5566393	539.9651665	0	14.16302076	292.997492	850.6664344	3600.06284	106.2226557	2188.186708	0	0	0
