Compound	HMDB	KEGG	High.Confidence.Annotation
2-Aminobutyrate	HMDB0000452	C02356	TRUE
2-Hydroxyisobutyrate	HMDB0242161	NA	TRUE
3-Phenylpropionate	HMDB0000764	C05629	TRUE
4-Aminobutyrate	HMDB0000112	C00334	TRUE
Acetate	HMDB0000042	C00033	TRUE
Alanine	HMDB0000161	C01401	TRUE
Arginine	HMDB0000517	C00062	TRUE
Asparagine	HMDB0000168	C00152	TRUE
Aspartate	HMDB0000191	C00049	TRUE
beta-Alanine	HMDB0000056	C00099	TRUE
Butyrate	HMDB0000039	C00246	TRUE
Caprate	HMDB0000511	C01571	TRUE
Choline	HMDB0000097	C00114	TRUE
DSS-d6 (Chemical Shape Indicator)	NA	NA	TRUE
Ethanol	HMDB0000108	C00469	TRUE
Formate	HMDB0304356	C00058	TRUE
Fumarate	HMDB0000134	C00122	TRUE
Glucose	HMDB0000122	C00031	TRUE
Glutamate	HMDB0000148	C00302	TRUE
Glutamine	HMDB0000641	C00064	TRUE
Glycerol	HMDB0000131	C00116	TRUE
Glycine	HMDB0000123	C00037	TRUE
Histidine	HMDB0000177	C00135	TRUE
Homovanillate	HMDB0000118	C05582	TRUE
Isobutyrate	HMDB0001873	C02632	TRUE
Isoleucine	HMDB0000172	C00407	TRUE
Isopropanol	HMDB0000863	C01845	TRUE
Isovalerate	HMDB0000718	C08262	TRUE
Lactate	HMDB0000190	C00186	TRUE
Leucine	HMDB0000687	C00123	TRUE
Lysine	HMDB0000182	C00047	TRUE
Malonate	HMDB0000691	C00383	TRUE
Methanol	HMDB0001875	C00132	TRUE
Methionine	HMDB0000696	C00073	TRUE
Methylamine	HMDB0000164	C00218	TRUE
N-Acetylglycine	HMDB0000532	NA	TRUE
N,N-Dimethylglycine	HMDB0000092	C01026	TRUE
Nicotinate	HMDB0001488	C00253	TRUE
o-Cresol	HMDB0002055	C01542	TRUE
O-Phosphocholine	HMDB0001565	C00588	TRUE
p-Cresol	HMDB0001858	C01468	TRUE
pH	NA	NA	TRUE
Phenylacetate	HMDB0000209	C07086	TRUE
Phenylalanine	HMDB0000159	C00079	TRUE
Proline	HMDB0000162	C00148	TRUE
Propionate	HMDB0000237	C00163	TRUE
Pyruvate	HMDB0000243	C00022	TRUE
Serine	HMDB0000187	C00065	TRUE
Succinate	HMDB0000254	C00042	TRUE
Taurine	HMDB0000251	C00245	TRUE
Threonine	HMDB0000167	C00188	TRUE
Thymine	HMDB0000262	C00178	TRUE
Trimethylamine	HMDB0000906	C00565	TRUE
Tryptophan	HMDB0000929	C00078	TRUE
Tyramine	HMDB0000306	C00483	TRUE
Tyrosine	HMDB0000158	C00082	TRUE
Uracil	HMDB0000300	C00106	TRUE
Urea	HMDB0000294	C00086	TRUE
Valerate	HMDB0000892	C00803	TRUE
Valine	HMDB0000883	C00183	TRUE
Xanthine	HMDB0000292	C00385	TRUE
