Compound	Compound.Name	High.Confidence.Annotation	HMDB	KEGG
NMR_2-Methylbutyrate	2-Methylbutyrate	TRUE	HMDB0002176	C18319
NMR_Lactate	Lactate	TRUE	HMDB0000190	C00256
NMR_Alanine	Alanine	TRUE	HMDB0000161	C00041
NMR_Tyrosine	Tyrosine	TRUE	HMDB0000158	C00082
NMR_Isoleucine	Isoleucine	TRUE	HMDB0000172	C00407
NMR_Leucine	Leucine	TRUE	HMDB0000687	C00123
NMR_Valine	Valine	TRUE	HMDB0000883	C00183
NMR_Lysine	Lysine	TRUE	HMDB0000182	C00047
NMR_Succinate	Succinate	TRUE	HMDB0000254	C00042
NMR_Glycine	Glycine	TRUE	HMDB0000123	C00037
NMR_b_arabinose	b_arabinose	TRUE	HMDB0000646	C02479
NMR_b_xylose	b_xylose	TRUE	NA	NA
NMR_Acetate	Acetate	TRUE	HMDB0000042	C00033
NMR_Propionate	Propionate	TRUE	HMDB0000237	C00163
NMR_Butyrate	Butyrate	TRUE	HMDB0000039	C00246
NMR_Glucose	Glucose	TRUE	HMDB0000122	C00031
NMR_Isovalerate	Isovalerate	TRUE	HMDB0000718	C08262
NMR_Uracil	Uracil	TRUE	HMDB0000300	C00106
NMR_Hypoxanthine	Hypoxanthine	TRUE	HMDB0000157	C00262
Tryptophan_Metabolites_5-hydroxyindole acetate	5-hydroxyindole acetate	TRUE	HMDB0000763	C05635
Tryptophan_Metabolites_melatonin (pg/mg)	melatonin (pg/mg)	TRUE	HMDB0001389	C01598
Tryptophan_Metabolites_anthranilate (pg/mg)	anthranilate (pg/mg)	TRUE	HMDB0001123	C00108
Tryptophan_Metabolites_indole-3-propionic acid	indole-3-propionic acid	TRUE	HMDB0002302	NA
Tryptophan_Metabolites_3-methylindole (relative; raw peak area only)	3-methylindole (relative; raw peak area only)	TRUE	HMDB0000466	C08313
Tryptophan_Metabolites_Tryptophan	Tryptophan	TRUE	HMDB0000929	C00078
Tryptophan_Metabolites_Kynurenate (no IS)	Kynurenate (no IS)	TRUE	HMDB0000715	C01717
Tryptophan_Metabolites_Kynurenine (no IS)	Kynurenine (no IS)	TRUE	HMDB0000684	C00328
Tryptophan_Metabolites_Serotonin	Serotonin	TRUE	HMDB0000259	C00780
Tryptophan_Metabolites_tryptamine	tryptamine	TRUE	HMDB0000303	C00398
Tryptophan_Metabolites_indole-3-acetic acid (no IS)	indole-3-acetic acid (no IS)	TRUE	HMDB0000197	C00954
Tryptophan_Metabolites_indole	indole	TRUE	HMDB0000738	C00463
BA_Metabolites_Deoxycholic acid	Deoxycholic acid	TRUE	HMDB0000626	C04483
BA_Metabolites_Cholic acid	Cholic acid	TRUE	HMDB0000619	C00695
BA_Metabolites_Ursodeoxycholic acid	Ursodeoxycholic acid	TRUE	HMDB0000946	C07880
BA_Metabolites_Lithocholic acid	Lithocholic acid	TRUE	HMDB0000761	NA
BA_Metabolites_Chenodeoxycholic acid	Chenodeoxycholic acid	TRUE	HMDB0000518	C02528
BA_Metabolites_Deoxycholic acid sulphate	Deoxycholic acid sulphate	TRUE	NA	NA
BA_Metabolites_Taurocholic acid	Taurocholic acid	TRUE	HMDB0000036	C05122
BA_Metabolites_Glycocholic acid	Glycocholic acid	TRUE	HMDB0000138	NA
BA_Metabolites_Taurodeoxycholic acid	Taurodeoxycholic acid	TRUE	HMDB0000896	C05463
BA_Metabolites_Glycodeoxycholic acid	Glycodeoxycholic acid	TRUE	HMDB0000631	NA
BA_Metabolites_Glycochenodeoxycholic acid	Glycochenodeoxycholic acid	TRUE	NA	NA
BA_Metabolites_Taurochenodeoxycholic acid	Taurochenodeoxycholic acid	TRUE	HMDB0000951	C05465
