Compound	Compound.Name	High.Confidence.Annotation	HMDB	KEGG
HILIC_POS_1-methyladenosine	1-methyladenosine	TRUE	HMDB0003331	C02494
HILIC_POS_1-methylguanosine/2-O-methylguanosine	1-methylguanosine/2-O-methylguanosine	FALSE	NA	NA
HILIC_POS_1-methylhistamine	1-methylhistamine	TRUE	HMDB0000898	C05127
HILIC_POS_1-methylnicotinamide	1-methylnicotinamide	TRUE	HMDB0000699	C02918
HILIC_POS_1_2_4-trimethylbenzene	1,2,4-trimethylbenzene	TRUE	HMDB0013733	C14533
REV_NEG_10-heptadecenoate	10-heptadecenoate	TRUE	NA	NA
REV_NEG_10-nonadecenoate	10-nonadecenoate	TRUE	NA	NA
REV_NEG_12_13-diHOME	12,13-diHOME	TRUE	HMDB0004705	C14829
REV_NEG_13-docosenoate	13-docosenoate	TRUE	HMDB0002068	C08316
REV_NEG_13-HODE	13-HODE	TRUE	HMDB0061708	C14762
REV_NEG_16:0 PC(O)	16:0 PC(O)	TRUE	NA	NA
REV_NEG_17-Methylstearate	17-Methylstearate	TRUE	HMDB0061710	NA
HILIC_NEG_2-aminoadipate	2-aminoadipate	TRUE	HMDB0000510	C00956
HILIC_POS_2-deoxyadenosine	2-deoxyadenosine	TRUE	HMDB0000101	C00559
HILIC_POS_2-deoxycytidine	2-deoxycytidine	TRUE	HMDB0000014	C00881
HILIC_NEG_2-furoylglycine	2-furoylglycine	TRUE	HMDB0000439	NA
HILIC_NEG_2-hydroxyglutarate	2-hydroxyglutarate	TRUE	HMDB0059655	C02630
REV_NEG_2-hydroxyhexadecanoate	2-hydroxyhexadecanoate	TRUE	HMDB0031057	NA
REV_NEG_2-hydroxyibuprofen	2-hydroxyibuprofen	TRUE	HMDB0060920	NA
REV_NEG_2-hydroxyoctanoate	2-hydroxyoctanoate	TRUE	HMDB0000711	NA
HILIC_POS_2^-O-methyladenosine/3^-O-methyladenosine	2^-O-methyladenosine/3^-O-methyladenosine	FALSE	NA	NA
HILIC_NEG_3-4-dihydroxybenzylamine	3-4-dihydroxybenzylamine	TRUE	HMDB0012153	NA
HILIC_NEG_3-4-dihydroxyphenylglycol	3-4-dihydroxyphenylglycol	TRUE	HMDB0000318	C05576
HILIC_POS_3-dehydroxycarnitine	3-dehydroxycarnitine	TRUE	HMDB0006831	C05543
HILIC_POS_3-hydroxyanthranilic acid	3-hydroxyanthranilic acid	TRUE	HMDB0001476	C00632
REV_NEG_3-hydroxydecanoate	3-hydroxydecanoate	TRUE	HMDB0002203	NA
HILIC_NEG_3-hydroxykynurenate	3-hydroxykynurenate	TRUE	HMDB0000732	C02794
HILIC_POS_3-methoxytyramine	3-methoxytyramine	TRUE	HMDB0000022	C05587
HILIC_NEG_3-methyladipate/pimelate	3-methyladipate/pimelate	FALSE	NA	NA
HILIC_POS_3-methylhistidine	3-methylhistidine	TRUE	HMDB0000479	C01152
HILIC_POS_4-guanidinobutanoic acid	4-guanidinobutanoic acid	TRUE	HMDB0003464	C01035
HILIC_NEG_4-hydroxybenzaldehyde	4-hydroxybenzaldehyde	TRUE	HMDB0011718	C00633
HILIC_NEG_4-hydroxybenzeneacetonitrile	4-hydroxybenzeneacetonitrile	TRUE	HMDB0029757	C03766
REV_NEG_4-hydroxystyrene	4-hydroxystyrene	TRUE	HMDB0004072	C05627
HILIC_NEG_4-pyridoxate	4-pyridoxate	TRUE	HMDB0000017	C00847
HILIC_POS_5-aminolevulinic acid	5-aminolevulinic acid	TRUE	HMDB0001149	C00430
HILIC_POS_5-HIAA	5-HIAA	TRUE	HMDB0000763	C05635
HILIC_POS_5-hydroxytryptophan	5-hydroxytryptophan	TRUE	HMDB0000472	C00643
HILIC_POS_5-methylcytidine	5-methylcytidine	TRUE	HMDB0000982	NA
HILIC_POS_5-methylcytosine	5-methylcytosine	TRUE	HMDB0002894	C02376
REV_NEG_5_6 diHETE	5,6 diHETE	TRUE	NA	NA
HILIC_POS_6_8-dihydroxypurine	6,8-dihydroxypurine	TRUE	HMDB0001182	NA
REV_POS_7-Dehydrodesmosterol	7-Dehydrodesmosterol	TRUE	HMDB0003896	C05107
REV_NEG_9_10-diHOME	9,10-diHOME	TRUE	HMDB0004704	C14828
HILIC_POS_acetaminophen	acetaminophen	TRUE	HMDB0001859	C06804
HILIC_POS_acetylcholine	acetylcholine	TRUE	HMDB0000895	C01996
REV_NEG_acetytyrosine	acetytyrosine	TRUE	HMDB0000866	C01657
HILIC_NEG_adenine	adenine	TRUE	HMDB0000034	C00147
HILIC_POS_adenosine	adenosine	TRUE	HMDB0000050	C00212
HILIC_NEG_adipate	adipate	TRUE	HMDB0000448	C06104
HILIC_POS_ADMA	ADMA	TRUE	HMDB0001539	C03626
REV_NEG_adrenate	adrenate	TRUE	HMDB0002226	C16527
HILIC_POS_adrenochrome	adrenochrome	TRUE	HMDB0012884	NA
HILIC_NEG_alanine	alanine	FALSE	HMDB0000161	C00041
HILIC_POS_alanine	alanine	FALSE	HMDB0000161	C00041
HILIC_POS_alanyalanine	alanyalanine	TRUE	HMDB0028680	NA
REV_NEG_alpha-CEHC	alpha-CEHC	TRUE	HMDB0001518	NA
HILIC_NEG_alpha-glycerophosphate	alpha-glycerophosphate	TRUE	HMDB0000126	C00093
HILIC_POS_alpha-glycerophosphocholine	alpha-glycerophosphocholine	TRUE	NA	NA
HILIC_NEG_alpha-hydroxybutyrate/beta-hydroxybutyrate	alpha-hydroxybutyrate/beta-hydroxybutyrate	FALSE	NA	NA
HILIC_NEG_alpha-ketoglutarate	alpha-ketoglutarate	TRUE	HMDB0000208	C00026
REV_NEG_alpha-linolenate	alpha-linolenate	TRUE	HMDB0001388	C06427
REV_NEG_alpha-muricholate	alpha-muricholate	TRUE	HMDB0000506	C17647
HILIC_POS_anserine	anserine	TRUE	HMDB0000194	C01262
HILIC_POS_anthranilic acid	anthranilic acid	TRUE	HMDB0001123	C00108
REV_NEG_arachidate	arachidate	TRUE	HMDB0002212	C06425
REV_NEG_arachidonate	arachidonate	TRUE	HMDB0060102	C00219
HILIC_NEG_arginine	arginine	FALSE	HMDB0000517	C00062
HILIC_POS_arginine	arginine	FALSE	HMDB0000517	C00062
HILIC_NEG_ascorbate	ascorbate	TRUE	HMDB0000044	C00072
HILIC_POS_asparagine	asparagine	TRUE	HMDB0000168	C00152
HILIC_POS_aspartate	aspartate	FALSE	HMDB0000191	C00049
HILIC_NEG_aspartate	aspartate	FALSE	HMDB0000191	C00049
HILIC_POS_atenolol	atenolol	TRUE	HMDB0001924	C13235
HILIC_NEG_azelaic acid	azelaic acid	FALSE	HMDB0000784	C08261
REV_NEG_azelate	azelate	FALSE	HMDB0000784	C08261
HILIC_NEG_benzoate	benzoate	TRUE	HMDB0013677	C00180
HILIC_POS_beta-alanine	beta-alanine	TRUE	HMDB0000056	C00099
HILIC_POS_beta-guanidinopropionic acid	beta-guanidinopropionic acid	TRUE	HMDB0013222	C03065
HILIC_POS_betaine	betaine	TRUE	HMDB0000043	C00719
HILIC_POS_bilirubin	bilirubin	TRUE	HMDB0000054	C00486
HILIC_NEG_butyrate	butyrate	TRUE	HMDB0000039	C00246
HILIC_POS_C10:2 carnitine	C10:2 carnitine	TRUE	NA	NA
HILIC_POS_C14 carnitine	C14 carnitine	TRUE	NA	NA
REV_POS_C14:1 MAG +NH4	C14:1 MAG +NH4	TRUE	NA	NA
HILIC_POS_C16 carnitine	C16 carnitine	TRUE	NA	NA
REV_POS_C16:0 CE	C16:0 CE	TRUE	NA	NA
REV_POS_C16:0 CE +NH4	C16:0 CE +NH4	TRUE	NA	NA
REV_POS_C16:0 Ceramide (d18:1)	C16:0 Ceramide (d18:1)	TRUE	NA	NA
REV_POS_C16:0 LPC	C16:0 LPC	TRUE	NA	NA
REV_POS_C16:0 LPE	C16:0 LPE	TRUE	NA	NA
REV_POS_C16:0 SM	C16:0 SM	TRUE	NA	NA
HILIC_POS_C16:0 SM	C16:0 SM	TRUE	NA	NA
REV_POS_C16:1 CE	C16:1 CE	TRUE	NA	NA
REV_POS_C16:1 MAG	C16:1 MAG	TRUE	NA	NA
HILIC_POS_C18 carnitine	C18 carnitine	TRUE	NA	NA
REV_POS_C18:0 CE	C18:0 CE	TRUE	NA	NA
REV_POS_C18:0 LPC	C18:0 LPC	TRUE	NA	NA
HILIC_POS_C18:0 LPC	C18:0 LPC	TRUE	NA	NA
REV_POS_C18:0 LPE	C18:0 LPE	TRUE	NA	NA
REV_POS_C18:0 MAG	C18:0 MAG	TRUE	NA	NA
REV_POS_C18:0 MAG +NH4	C18:0 MAG +NH4	TRUE	NA	NA
REV_POS_C18:0 SM	C18:0 SM	TRUE	NA	NA
HILIC_POS_C18:1-OH carnitine	C18:1-OH carnitine	TRUE	NA	NA
HILIC_POS_C18:1 carnitine	C18:1 carnitine	TRUE	NA	NA
REV_POS_C18:1 CE	C18:1 CE	TRUE	NA	NA
REV_POS_C18:1 CE +NH4	C18:1 CE +NH4	TRUE	NA	NA
REV_POS_C18:1 LPC	C18:1 LPC	TRUE	NA	NA
REV_POS_C18:1 LPE	C18:1 LPE	TRUE	NA	NA
HILIC_POS_C18:2 carnitine	C18:2 carnitine	TRUE	NA	NA
REV_POS_C18:2 CE	C18:2 CE	TRUE	NA	NA
REV_POS_C18:2 CE +NH4	C18:2 CE +NH4	TRUE	NA	NA
REV_POS_C18:2 LPC	C18:2 LPC	TRUE	NA	NA
REV_POS_C18:3 CE	C18:3 CE	TRUE	NA	NA
REV_POS_C18:3 CE +NH4	C18:3 CE +NH4	TRUE	NA	NA
HILIC_POS_C2 carnitine	C2 carnitine	TRUE	NA	NA
HILIC_POS_C20 carnitine	C20 carnitine	TRUE	NA	NA
REV_POS_C20:0 LPE	C20:0 LPE	TRUE	NA	NA
