source	interaction	target	n_datasets	REM.TE	REM.P.HAKN
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217	neg_assoc	HMDB0000008	3	-0.06961485669368556	0.00233800386332208
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	pos_assoc	HMDB0000008	3	0.106195801196574	0.00269475322931846
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170	neg_assoc	HMDB0000008	3	-0.2629217276510865	0.00175073157730952
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	neg_assoc	HMDB0000008	3	-0.26033690825977424	0.00217715017085344
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127	neg_assoc	HMDB0000014	5	-0.09448708524010065	0.00330597270999844
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	neg_assoc	HMDB0000017	7	-0.11582415748081398	0.00212646746234837
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177	neg_assoc	HMDB0000020	6	-0.13104339769337153	6.932247461786112e-5
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180	neg_assoc	HMDB0000020	5	-0.09440641744512836	0.00127310670489335
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__PeH17	neg_assoc	HMDB0000020	4	-0.16497567833877402	8.113589027813928e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524	neg_assoc	HMDB0000020	6	-0.13761871410050527	0.00178171617131664
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	pos_assoc	HMDB0000020	6	0.16839105372517685	0.00242824343049475
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	neg_assoc	HMDB0000020	7	-0.0921069068650666	2.5705435128081736e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F	neg_assoc	HMDB0000020	6	-0.13853397909681023	0.00152195153479796
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	neg_assoc	HMDB0000020	7	-0.17678577291290565	0.00105547975961644
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103	neg_assoc	HMDB0000020	4	-0.191898933415269	0.00141766035652237
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170	neg_assoc	HMDB0000020	4	-0.2016454862355833	0.00349847294071877
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	neg_assoc	HMDB0000020	6	-0.21028509574473328	1.864284397918885e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter	neg_assoc	HMDB0000020	6	-0.19738919126420637	0.00181882055283808
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4	neg_assoc	HMDB0000020	6	-0.2018597632634327	0.00216400040303426
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446	neg_assoc	HMDB0000020	4	-0.15598736570869254	0.00132216659950822
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	neg_assoc	HMDB0000020	7	-0.2255922361047893	0.00270094776087561
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A	neg_assoc	HMDB0000020	6	-0.2285299464856464	1.151985262781506e-5
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	neg_assoc	HMDB0000020	5	-0.16434503958870195	0.00238242854971167
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C	neg_assoc	HMDB0000020	6	-0.13422924980138684	0.00205952795034905
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127	neg_assoc	HMDB0000022	3	-0.04848011769312055	0.00153111211265421
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177	neg_assoc	HMDB0000026	5	-0.1097163026703546	0.00351007154585429
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180	neg_assoc	HMDB0000026	4	-0.11298401225994636	0.00180705402123706
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	neg_assoc	HMDB0000026	5	-0.12015323422735684	0.00242519890230697
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615	neg_assoc	HMDB0000026	5	-0.10211118277867674	0.00238064990946554
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	neg_assoc	HMDB0000026	5	-0.1980716142502082	0.00248938431072953
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter	neg_assoc	HMDB0000026	5	-0.216950600234734	0.00111175913244124
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D	neg_assoc	HMDB0000026	5	-0.08542462183988665	0.001098390293583
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	pos_assoc	HMDB0000026	5	0.14523085739525862	0.00204443358631163
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	neg_assoc	HMDB0000030	4	-0.15396271897268476	0.00342219438554595
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	pos_assoc	HMDB0000030	4	0.17705533231659698	0.00132792111799659
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium	pos_assoc	HMDB0000030	4	0.19290174257253836	0.00282244118184746
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG115	neg_assoc	HMDB0000033	4	-0.05470450725868817	0.0010772922384128
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R	pos_assoc	HMDB0000034	6	0.05806902501159975	0.00323731412088768
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	neg_assoc	HMDB0000034	7	-0.12875045278441133	0.00240180588055481
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615	neg_assoc	HMDB0000036	5	-0.09280226939898784	0.00257889157577982
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D	neg_assoc	HMDB0000036	5	-0.10042663782222444	1.5010500759848671e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A	neg_assoc	HMDB0000039	6	-0.10321969035703152	0.00367029265538684
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	pos_assoc	HMDB0000039	7	0.24804070776505943	9.139452932021978e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I	pos_assoc	HMDB0000039	7	0.12100158770186294	5.249149322738149e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	pos_assoc	HMDB0000039	7	0.08826249336554262	0.00275606956793854
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	pos_assoc	HMDB0000039	7	0.1478340657210955	8.112338068101888e-5
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	pos_assoc	HMDB0000039	7	0.18669486402432953	0.00123527019353121
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11	pos_assoc	HMDB0000039	7	0.13122698902403285	0.00135135336444108
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	neg_assoc	HMDB0000039	7	-0.16827011352908286	0.00181257867647067
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK3B98	pos_assoc	HMDB0000039	5	0.1210079487221518	0.00124751128563235
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	pos_assoc	HMDB0000039	7	0.15829035523159382	0.00100820456609633
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D	pos_assoc	HMDB0000039	7	0.0825760176544179	7.818116226705798e-4
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	neg_assoc	HMDB0000042	3	-0.16616339521718546	0.00262365119064562
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A	neg_assoc	HMDB0000043	5	-0.1290097522830081	0.00218972071116953
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691	neg_assoc	HMDB0000043	4	-0.17468705577700722	8.117758518849245e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum	neg_assoc	HMDB0000043	6	-0.13640538271461142	5.113090334691729e-4
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	neg_assoc	HMDB0000043	6	-0.1253270941452802	0.00149803696271218
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	pos_assoc	HMDB0000043	6	0.21870058574958212	0.00360401660064017
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	neg_assoc	HMDB0000043	6	-0.20659288213423188	0.00248083851938437
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter	neg_assoc	HMDB0000043	6	-0.32134716841708344	0.00279382258117437
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D	pos_assoc	HMDB0000043	6	0.22344191314960543	6.889549866318155e-4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia	pos_assoc	HMDB0000043	5	0.15454432469644777	0.00118458368317613
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A	neg_assoc	HMDB0000043	6	-0.2204472104108901	0.00171183847535164
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	pos_assoc	HMDB0000043	6	0.25940050091083533	1.8372724504955016e-4
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	neg_assoc	HMDB0000043	6	-0.11584145450954728	0.00198315243285566
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	pos_assoc	HMDB0000043	6	0.22927073460235428	0.00324957092857907
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	neg_assoc	HMDB0000050	5	-0.12260634944574476	0.0032975364282605
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	neg_assoc	HMDB0000054	4	-0.12825053152563703	0.00177621715985264
