Compound	KEGG	HMDB.Name	HMDB.Sub.Class	HMDB.Class	HMDB.Super.Class	HMDB.Kingdom	HMDB.Source.Endogenous	HMDB.Source.Food	HMDB.Source.Microbial
HMDB0000008	C05984	2-Hydroxybutyric acid	Alpha hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000014	C00881	Deoxycytidine	Pyrimidine 2'-deoxyribonucleosides	Pyrimidine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000017	C00847	4-Pyridoxic acid	Pyridinecarboxylic acids and derivatives	Pyridines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000019	C00141	alpha-Ketoisovaleric acid	Short-chain keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000020	C00642	p-Hydroxyphenylacetic acid	1-hydroxy-2-unsubstituted benzenoids	Phenols	Benzenoids	Organic compounds	FALSE	TRUE	TRUE
HMDB0000022	C05587	3-Methoxytyramine	Methoxyphenols	Phenols	Benzenoids	Organic compounds	TRUE	FALSE	FALSE
HMDB0000026	C02642	Ureidopropionic acid	Ureas	Organic carbonic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000030	C00120	Biotin	NA	Biotin and derivatives	Organoheterocyclic compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000033	C00386	Carnosine	Hybrid peptides	Peptidomimetics	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000034	C00147	Adenine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000036	C05122	Taurocholic acid	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000039	C00246	Butyric acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	TRUE
HMDB0000043	D07523	Betaine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000050	C00212	Adenosine	NA	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000056	C00099	beta-Alanine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000062	C00318	L-Carnitine	Quaternary ammonium salts	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000064	C00300	Creatine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000070	C00408	Pipecolic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000071	C05512	Deoxyinosine	Purine 2'-deoxyribonucleosides	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000076	C00429	Dihydrouracil	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000085	C00330	Deoxyguanosine	Purine 2'-deoxyribonucleosides	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000086	C00670	Glycerophosphocholine	Glycerophosphocholines	Glycerophospholipids	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000089	C00475	Cytidine	NA	Pyrimidine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000092	C01026	Dimethylglycine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	TRUE
HMDB0000094	C00158	Citric acid	Tricarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000097	C00114	Choline	Quaternary ammonium salts	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000112	C00334	gamma-Aminobutyric acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000118	C05582	Homovanillic acid	Methoxyphenols	Phenols	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000123	C00037	Glycine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000124	C00085	Fructose 6-phosphate	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000126	C00093	Glycerol 3-phosphate	Glycerophosphates	Glycerophospholipids	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000127	C00191	D-Glucuronic acid	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000128	C00581	Guanidoacetic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000131	C00116	Glycerol	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000132	C00242	Guanine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000133	C00387	Guanosine	NA	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000134	C00122	Fumaric acid	Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000138	C01921	Glycocholic acid	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	TRUE
HMDB0000139	C00258	Glyceric acid	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
